gene,pmid,title,journal,year,query
SRSF1,38511054,<i>MIAT</i> LncRNA: A multifunctional key player in non-oncological pathological conditions,Non-coding RNA research,2024,"(SRSF1 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
HNRNPA1,26593421,RNA mis-splicing in disease,Nature reviews. Genetics,2016,"(HNRNPA1 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
HNRNPA1,27651444,Epigenetic Signatures of Cigarette Smoking,Circulation. Cardiovascular genetics,2016,"(HNRNPA1 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
HNRNPA1,36543887,Amyotrophic lateral sclerosis: a neurodegenerative disorder poised for successful therapeutic translation,Nature reviews. Drug discovery,2023,"(HNRNPA1 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
HNRNPA1,36066811,The landscape of aging,Science China. Life sciences,2022,"(HNRNPA1 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
HNRNPA1,38649488,Multimodal cell atlas of the ageing human skeletal muscle,Nature,2024,"(HNRNPA1 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
HNRNPA1,34974309,"Unraveling the complex interplay between genes, environment, and climate in ALS",EBioMedicine,2022,"(HNRNPA1 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
HNRNPA1,33565261,Splicing alterations in healthy aging and disease,Wiley interdisciplinary reviews. RNA,2021,"(HNRNPA1 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
HNRNPA1,36367225,"m6A readers, writers, erasers, and the m6A epitranscriptome in breast cancer",Journal of molecular endocrinology,2023,"(HNRNPA1 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
HNRNPA1L2,25811879,A genomic portrait of haplotype diversity and signatures of selection in indigenous southern African populations,PLoS genetics,2015,"(HNRNPA1L2 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
